N,P,K,temperature,humidity,ph,rainfall,crop_type,soil_moisture,sunlight_exposure,wind_speed,co2_concentration,organic_matter,crop_density,pest_pressure,urban_area_proximity,frost_risk,water_usage_efficiency,soil_type,fertilizer_type,irrigation_method
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,29.44606392,8.677355267,10.10987524,435.6112257,3.121394502,11.7439101,57.60730814,2.719614268,95.64998537,1.193293298,Loamy Soil,NPK Fertilizer,Drip Irrigation
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,12.85118264,5.754287955,12.0480498,401.4518597,2.142020929,16.79710124,74.73687901,4.714427327,77.26569366,1.752671682,Clayey Soil,Compost,Sprinkler Irrigation
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,29.36391289,9.875230096,9.051348913,357.4179627,1.474973725,12.65439458,1.034478009,30.43173648,18.19216786,3.03554102,Loamy Soil,Organic Manure,Surface Irrigation
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,26.20773239,8.023684684,7.963606057,363.6943055,8.393907172,10.86436018,24.09188793,10.86107128,82.81872017,1.273340646,Clayey Soil,NPK Fertilizer,Surface Irrigation
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,15.69649076,5.962473079,7.896438823,359.0427953,6.142806339,7.755604911,44.77693669,7.030797616,26.72412345,1.569046329,Sandy Soil,NPK Fertilizer,Sprinkler Irrigation
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,18.10229956,10.50916478,4.249812524,439.9141829,3.208669384,7.552875738,80.62129313,40.42471797,12.45162811,1.029736785,Clayey Soil,NPK Fertilizer,Surface Irrigation
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,19.74252283,7.613462956,3.925950761,431.6839323,1.153833076,13.52043435,91.71888825,10.15777681,30.71243536,4.410523116,Loamy Soil,Compost,Sprinkler Irrigation
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,23.34511451,10.16869787,13.21430558,386.1428305,8.705518065,14.31222991,13.35809839,43.4764655,50.39889549,1.37456358,Sandy Soil,Organic Manure,Sprinkler Irrigation
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,12.28784301,10.74800154,18.99798489,435.4804752,8.550569187,15.30324364,31.42938169,14.48608246,38.68300439,1.135923615,Sandy Soil,Compost,Sprinkler Irrigation
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,20.50552905,8.914357979,5.605837158,362.0769125,5.083744267,6.886703069,14.48341832,35.14762404,77.8685813,1.085565894,Loamy Soil,Compost,Drip Irrigation
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,19.86297771,9.604758002,15.03754499,449.0999824,3.287939301,8.669389336,50.161634,4.852330346,83.16991783,2.29017856,Clayey Soil,Compost,Subsurface Irrigation
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,25.75100657,5.156131899,11.96692269,387.8451723,8.82668821,13.41922725,21.42755696,24.83894964,49.8345872,1.307594228,Sandy Soil,NPK Fertilizer,Surface Irrigation
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,17.85095579,11.30220544,2.568028918,386.9120486,8.13725488,13.33118901,90.87507422,43.27565017,3.070325599,1.470108652,Sandy Soil,Urea,Subsurface Irrigation
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,16.92544358,7.193711118,16.94274791,380.1545777,3.757578539,11.43938114,43.7082171,9.150663021,94.38189733,3.672312162,Loamy Soil,Organic Manure,Surface Irrigation
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,13.92858977,8.401741241,17.44435849,427.3210034,4.941116717,5.261348665,37.083929,23.13274544,15.47295956,2.46564651,Clayey Soil,Urea,Sprinkler Irrigation
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,15.05407997,8.353858331,1.028665973,422.1631804,5.154205084,5.844103097,71.06154283,43.62347417,20.14047265,2.686871511,Sandy Soil,Compost,Drip Irrigation
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,21.66550159,11.40035147,7.178125231,387.1073931,2.524754582,7.674413593,66.6865802,33.55821259,77.15182534,2.629314207,Clayey Soil,Compost,Subsurface Irrigation
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,13.74174686,8.232858165,1.290206775,434.992243,7.417834013,13.42027563,66.96630853,21.85504291,75.12350816,3.988721924,Loamy Soil,Urea,Drip Irrigation
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,25.52548814,5.029698818,12.95701828,354.2222342,2.317210391,10.72087131,89.94165562,15.8405943,80.56353349,2.781045257,Sandy Soil,Urea,Surface Irrigation
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,16.9004053,7.130601916,16.28584016,387.0109983,4.229277117,9.28855019,34.12657848,27.32905604,29.00824791,4.596199347,Sandy Soil,Urea,Drip Irrigation
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,14.07087343,8.205569589,18.85925311,382.4049654,6.409720868,15.92940372,42.57121964,27.51365754,24.07910119,1.16903831,Sandy Soil,Compost,Drip Irrigation
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,12.41872293,6.495707285,13.90703852,385.5906802,4.852641177,6.141819411,41.55633193,15.71868097,49.51670997,1.457174298,Clayey Soil,Compost,Subsurface Irrigation
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,24.03853195,7.395417364,15.97704743,409.1350759,2.374012772,14.30804881,45.57980344,33.46914957,72.29219082,3.667281715,Loamy Soil,Organic Manure,Sprinkler Irrigation
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,11.7866641,7.827432568,19.20583481,449.7528367,1.161099445,10.64427837,32.18107344,30.47858066,87.23012612,3.858349063,Loamy Soil,Organic Manure,Drip Irrigation
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,18.58080281,10.6819306,3.936908658,440.5935604,4.719268903,15.78996608,5.000830207,22.97207662,11.03028122,1.258196036,Sandy Soil,Compost,Sprinkler Irrigation
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,12.17300694,7.411662488,5.978189569,437.3522818,8.659881716,10.99225132,46.72542366,49.82165834,41.05329142,3.466836445,Clayey Soil,Urea,Surface Irrigation
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,23.33402741,11.43579541,1.123597348,428.4370764,5.11838527,8.588719561,2.002447204,2.910249617,71.067332,3.478428458,Clayey Soil,Urea,Drip Irrigation
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,23.97882826,11.40265471,14.23982333,440.2770547,2.860604798,19.94017987,18.59282309,29.80835699,87.44669458,4.937106997,Clayey Soil,Organic Manure,Subsurface Irrigation
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,20.46341223,6.2885136,15.68068087,414.9543244,9.040013386,6.191903208,2.720019241,2.103304331,97.66742866,3.867994012,Sandy Soil,Compost,Surface Irrigation
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,18.19548534,9.659394559,5.915009783,423.024884,2.371505551,7.624250508,62.71503007,10.36223802,6.852675925,1.049513578,Loamy Soil,Organic Manure,Surface Irrigation
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,19.47400022,10.17381099,5.61442073,381.3204769,6.184190584,13.1585299,45.73350744,3.235342871,21.14630519,2.208341569,Clayey Soil,Organic Manure,Subsurface Irrigation
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,10.47032305,6.112574761,11.56093912,446.1576904,5.191292846,19.66980834,13.41556033,8.46941084,42.2270814,4.558693862,Clayey Soil,NPK Fertilizer,Drip Irrigation
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,19.71000774,10.66513992,16.50816322,415.2461743,8.748923932,17.74771455,79.52545134,44.58429975,6.113864054,3.606250189,Sandy Soil,NPK Fertilizer,Drip Irrigation
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,17.24189818,10.91225501,5.994164682,428.6996406,2.60189034,14.83034665,82.17204057,29.80127218,47.30819505,1.086739561,Loamy Soil,NPK Fertilizer,Surface Irrigation
